"","skim_variable","complete_rate","Measure","Description"
"1","v001_race_black_flag",0.631398252184769,"Premature Death flag (Black) (. = No
Flag/1=Unreliable/2=Suppressed)",NA
"2","v138_rawvalue",0.643570536828964,"Drug Overdose Deaths raw value","Number of drug poisoning deaths per 100,000 population."
"3","v128_rawvalue",0.658551810237203,"Child Mortality raw value","Number of deaths among residents under age 20 per 100,000 population."
"4","v141_rawvalue",0.660424469413234,"Residential Segregation - Black/White
raw value","Index of dissimilarity where higher values indicate greater residential segregation between Black and white
county residents."
"5","v148_race_white",0.677902621722846,"Firearm Fatalities (White)","Number of deaths due to firearms per 100,000 population."
"6","v001_race_hispanic_flag",0.712546816479401,"Premature Death flag (Hispanic) (. =
No Flag/1=Unreliable/2=Suppressed)",NA
"7","v148_rawvalue",0.735955056179775,"Firearm Fatalities raw value","Number of deaths due to firearms per 100,000 population."
"8","v161_race_white",0.737827715355805,"Suicides (White)","Number of deaths due to suicide per 100,000 population (age-adjusted)."
"9","v063_race_hispanic",0.763420724094881,"Median Household Income (Hispanic)","The income where half of households in a county earn more and half of households earn less."
"10","v183_rawvalue",0.767166042446941,"Feelings of Loneliness raw value","Percentage of adults reporting that they always, usually or sometimes feel lonely."
"11","v184_rawvalue",0.767166042446941,"Lack of Social and Emotional Support
raw value","Percentage of adults reporting that they sometimes, rarely, or never get the social and emotional support
they need."
"12","v161_other_data_1",0.780274656679151,"Crude suicide rate","Number of deaths due to suicide per 100,000 population (age-adjusted)."
"13","v161_rawvalue",0.780274656679151,"Suicides raw value","Number of deaths due to suicide per 100,000 population (age-adjusted)."
"14","v024_race_hispanic",0.792759051186017,"Children in Poverty (Hispanic)","Percentage of people under age 18 in poverty."
"15","v021_rawvalue",0.794631710362047,"High School Graduation raw value","Percentage of ninth-grade cohort that graduates in four years."
"16","v159_race_white",0.795568039950062,"Reading Scores (White)","Average grade level performance for 3rd graders on English Language Arts standardized tests."
"17","v039_race_white",0.802122347066167,"Motor Vehicle Crash Deaths (White)","Number of motor vehicle crash deaths per 100,000 population."
"18","v159_rawvalue",0.82334581772784,"Reading Scores raw value","Average grade level performance for 3rd graders on English Language Arts standardized tests."
"19","v061_rawvalue",0.853932584269663,"HIV Prevalence raw value","Number of people aged 13 years and older living with a diagnosis of human immunodeficiency virus (HIV)
infection per 100,000 population."
"20","v039_rawvalue",0.860174781523096,"Motor Vehicle Crash Deaths raw value","Number of motor vehicle crash deaths per 100,000 population."
"21","v014_race_white",0.864544319600499,"Teen Births (White)","Number of births per 1,000 female population ages 15-19."
"22","v160_race_white",0.878277153558052,"Math Scores (White)","Average grade level performance for 3rd graders on math standardized tests."
"23","v001_race_asian_flag",0.901997503121099,"Premature Death flag (Asian) (. = No
Flag/1=Unreliable/2=Suppressed)",NA
"24","v179_rawvalue",0.904494382022472,"Access to Parks raw value","Percentage of the population living within a half mile of a park."
"25","v001_race_aian_flag",0.916354556803995,"Premature Death flag (AIAN) (. = No
Flag/1=Unreliable/2=Suppressed)",NA
"26","v160_rawvalue",0.917602996254682,"Math Scores raw value","Average grade level performance for 3rd graders on math standardized tests."
"27","v065_rawvalue",0.922596754057428,"Children Eligible for Free or Reduced
Price Lunch raw value","Percentage of children enrolled in public schools that are eligible for free or reduced price lunch."
"28","v014_rawvalue",0.924157303370786,"Teen Births raw value","Number of births per 1,000 female population ages 15-19."
"29","v167_rawvalue",0.931023720349563,"School Segregation raw value","The extent to which students within different race and ethnicity groups are unevenly distributed across
schools when compared with the racial and ethnic composition of the local population. The index ranges
from 0 to 1 with lower values representing a school composition that approximates race and ethnicity
distributions in the student populations within the county, and higher values representing more segregation."
"30","v037_race_white",0.934456928838951,"Low Birth Weight (White)","Percentage of live births with low birth weight (< 2,500 grams)."
"31","v062_other_data_1",0.944132334581773,"Ratio of population to mental health
providers.","Ratio of population to mental health providers."
"32","v062_rawvalue",0.944132334581773,"Mental Health Providers raw value","Number of mental health care providers per 100,000 population"
