"","skim_variable","complete_rate","Measure","Description"
"1","v001_race_tom_flag",0,"Premature Death flag (Two or more
races) (. = No
Flag/1=Unreliable/2=Suppressed)",NA
"2","v170_rawvalue",0,"Living Wage raw value","The hourly wage needed to cover basic household expenses plus all relevant taxes for a household of one
adult and two children."
"3","v129_race_nhopi",0.00374531835205993,"Infant Mortality (NHOPI)","Number of infant deaths (within 1 year) per 1,000 live births."
"4","v138_race_nhopi",0.00468164794007486,"Drug Overdose Deaths (NHOPI)","Number of drug poisoning deaths per 100,000 population."
"5","v015_race_nhopi",0.00499375780274658,"Homicides (NHOPI)","Number of deaths due to homicide per 100,000 population."
"6","v148_race_nhopi",0.0056179775280899,"Firearm Fatalities (NHOPI)","Number of deaths due to firearms per 100,000 population."
"7","v161_race_nhopi",0.0056179775280899,"Suicides (NHOPI)","Number of deaths due to suicide per 100,000 population (age-adjusted)."
"8","v039_race_nhopi",0.00717852684144815,"Motor Vehicle Crash Deaths (NHOPI)","Number of motor vehicle crash deaths per 100,000 population."
"9","v129_race_aian",0.00873907615480651,"Infant Mortality (AIAN)","Number of infant deaths (within 1 year) per 1,000 live births."
"10","v128_race_nhopi",0.00936329588014984,"Child Mortality (NHOPI)","Number of deaths among residents under age 20 per 100,000 population."
"11","v015_race_aian",0.019350811485643,"Homicides (AIAN)","Number of deaths due to homicide per 100,000 population."
"12","v135_race_nhopi",0.0196629213483146,"Injury Deaths (NHOPI)","Number of deaths due to injury per 100,000 population."
"13","v148_race_aian",0.0243445692883895,"Firearm Fatalities (AIAN)","Number of deaths due to firearms per 100,000 population."
"14","v015_race_asian",0.0246566791510612,"Homicides (Asian)","Number of deaths due to homicide per 100,000 population."
"15","v129_race_tom",0.0246566791510612,"Infant Mortality (Two or more races)","Number of infant deaths (within 1 year) per 1,000 live births."
"16","v147_race_nhopi",0.0255930087390761,"Life Expectancy (NHOPI)","Average number of years people are expected to live."
"17","v128_race_aian",0.0268414481897628,"Child Mortality (AIAN)","Number of deaths among residents under age 20 per 100,000 population."
"18","v014_race_nhopi",0.0274656679151061,"Teen Births (NHOPI)","Number of births per 1,000 female population ages 15-19."
"19","v129_race_asian",0.029338327091136,"Infant Mortality (Asian)","Number of infant deaths (within 1 year) per 1,000 live births."
"20","v001_race_nhopi",0.0296504369538078,"Premature Death (NHOPI)","Years of potential life lost before age 75 per 100,000 population (age-adjusted)."
"21","v127_race_nhopi",0.0296504369538078,"Premature Age-Adjusted Mortality
(NHOPI)","Number of deaths among residents under age 75 per 100,000 population (age-adjusted)."
"22","v161_race_aian",0.0299625468164794,"Suicides (AIAN)","Number of deaths due to suicide per 100,000 population (age-adjusted)."
"23","v138_race_asian",0.0305867665418227,"Drug Overdose Deaths (Asian)","Number of drug poisoning deaths per 100,000 population."
"24","v148_race_asian",0.0308988764044944,"Firearm Fatalities (Asian)","Number of deaths due to firearms per 100,000 population."
"25","v037_race_nhopi",0.0405742821473158,"Low Birth Weight (NHOPI)","Percentage of live births with low birth weight (< 2,500 grams)."
"26","v039_race_aian",0.0418227215980025,"Motor Vehicle Crash Deaths (AIAN)","Number of motor vehicle crash deaths per 100,000 population."
"27","v138_race_aian",0.0427590511860175,"Drug Overdose Deaths (AIAN)","Number of drug poisoning deaths per 100,000 population."
"28","v128_race_asian",0.0483770287141073,"Child Mortality (Asian)","Number of deaths among residents under age 20 per 100,000 population."
"29","v039_race_asian",0.048689138576779,"Motor Vehicle Crash Deaths (Asian)","Number of motor vehicle crash deaths per 100,000 population."
"30","v161_race_asian",0.0546192259675405,"Suicides (Asian)","Number of deaths due to suicide per 100,000 population (age-adjusted)."
"31","v014_race_asian",0.0655430711610487,"Teen Births (Asian)","Number of births per 1,000 female population ages 15-19."
"32","v014_race_aian",0.0926966292134831,"Teen Births (AIAN)","Number of births per 1,000 female population ages 15-19."
"33","v159_race_aian",0.0961298377028714,"Reading Scores (AIAN)","Average grade level performance for 3rd graders on English Language Arts standardized tests."
"34","v129_race_hispanic",0.0980024968789014,"Infant Mortality (Hispanic)","Number of infant deaths (within 1 year) per 1,000 live births."
"35","v005_race_aian",0.101123595505618,"Preventable Hospital Stays (AIAN)","Rate of hospital stays for ambulatory-care sensitive conditions per 100,000 Medicare enrollees."
"36","v160_race_aian",0.10143570536829,"Math Scores (AIAN)","Average grade level performance for 3rd graders on math standardized tests."
"37","v147_race_aian",0.102996254681648,"Life Expectancy (AIAN)","Average number of years people are expected to live."
"38","v037_race_aian",0.104556803995006,"Low Birth Weight (AIAN)","Percentage of live births with low birth weight (< 2,500 grams)."
"39","v015_race_hispanic",0.104868913857678,"Homicides (Hispanic)","Number of deaths due to homicide per 100,000 population."
"40","v135_race_aian",0.104868913857678,"Injury Deaths (AIAN)","Number of deaths due to injury per 100,000 population."
"41","v135_race_asian",0.109862671660425,"Injury Deaths (Asian)","Number of deaths due to injury per 100,000 population."
"42","v161_race_black",0.111735330836454,"Suicides (Black)","Number of deaths due to suicide per 100,000 population (age-adjusted)."
"43","v148_race_hispanic",0.115168539325843,"Firearm Fatalities (Hispanic)","Number of deaths due to firearms per 100,000 population."
"44","v161_race_hispanic",0.122034956304619,"Suicides (Hispanic)","Number of deaths due to suicide per 100,000 population (age-adjusted)."
