fips,county,state,population,preventable_stays,preventable_black,preventable_white,uninsured,primary_care,mental_health,dentists,other_providers,flu_vaccinations,mammogram,broadband,pct_white,pct_black,pct_hispanic,poverty,log_preventable,disparity_count,log_uninsured,log_primary_care,log_mental_health,log_dentists,log_other_providers,log_population,primary_care_per_100k,mental_health_per_100k
00000,United States,US,334914895,2666,4268,2529,0.0954837794,7.494266e-4,0.0033249372,7.346149e-4,0.0013996421,0.48,0.44,0.8971186991,0.5835290903,0.1263398213,0.194733486,0.16,7.888709524182015,5824170,0.09119607337142446,7.491459201096051e-4,0.003319421818458036,7.343452025488184e-4,0.0013986635140029575,19.62938701273838,2.2376627949019702e-7,9.927707753935519e-7
01000,Alabama,AL,5108468,3327,4074,3201,0.1048872681,6.365235e-4,0.0014622779,4.960294e-4,0.0012338337,0.41,0.43,0.8561986283,0.6410469832,0.2623408818,0.0568554017,0.213,8.1101268019411,44597,0.09974330994633585,6.363210048411324e-4,0.0014612098127716792,4.959064180839599e-4,0.001233073152728625,15.446410112924308,1.2460164182294966e-5,2.8624587645454567e-5
01001,Autauga County,AL,60342,4365,3747,4255,0.0819036072,4.399695e-4,3.645885e-4,3.012099e-4,4.640217e-4,0.36,0.46,0.9088043333,0.7136322959,0.2099035498,0.0385303769,0.17,8.38160253710989,-307,0.07872208884022576,4.398727417988477e-4,3.6452205376279515e-4,3.011645454052768e-4,4.6391407522320446e-4,11.007783657672535,7.29126479069305e-4,6.042035398230089e-4
01003,Baldwin County,AL,253507,2888,3274,2861,0.1021234205,6.26844e-4,0.0012070673,4.707124e-4,9.112174e-4,0.44,0.45,0.8975085057,0.8226794526,0.0822146923,0.0578208886,0.141,7.968665700466235,1047,0.09723870128350304,6.266476153638047e-4,0.001206339379973368,4.706016496713217e-4,9.108024934526573e-4,12.44314671504436,0.00024726891170658005,4.7614752255361784e-4
01005,Barbour County,AL,24585,3560,5265,3358,0.1211704165,4.005768e-4,2.847265e-4,3.23808e-4,8.948546e-4,0.39,0.47,0.7230176211,0.4476306691,0.4648362823,0.0621110433,0.348,8.177796683277778,469,0.11437315439135777,4.0049659053291144e-4,2.846859731027472e-4,3.237555855041768e-4,8.944544563182963e-4,10.10989177984604,0.0016293544844417326,0.0011581309741712429
01007,Bibb County,AL,21868,5029,8851,4706,0.1083579882,6.673488e-4,3.658314e-4,2.272211e-4,0.0012804097,0.31,0.36,0.8115176331,0.7370587159,0.2036766051,0.036125846,0.214,8.523175263093785,906,0.10287963018477288,6.671262218088906e-4,3.657645000088732e-4,2.2719528919568638e-4,0.001279590674551042,9.99277966001489,0.003051713919882934,0.0016729074446680079
01011,Bullock County,AL,9897,4377,5000,2937,0.1140909091,1.937984e-4,2.020814e-4,1.9604e-4,6.062443e-4,0.33,0.46,0.6498696785,0.2229968677,0.6992017783,0.0617358796,0.398,8.384347278082808,204,0.10803874418986527,1.9377962351594164e-4,2.020609843043715e-4,1.9602078667027703e-4,6.06060608161921e-4,9.199986959896691,0.0019581529756491868,0.0020418450035364255
01013,Butler County,AL,18382,3956,4307,3673,0.1038040427,2.647744e-4,8.704167e-4,3.753351e-4,0.0010880209,0.35,0.42,0.7975764252,0.5033184637,0.4467413774,0.0175171363,0.374,8.283241441385425,117,0.09876243454600055,2.6473935344464817e-4,8.700381070573201e-4,3.7526467940166946e-4,0.001087429434239709,9.819127203918054,0.0014404003916875204,0.00473515776302905
01015,Calhoun County,AL,116429,3587,4480,3495,0.1183334269,5.863484e-4,0.0016318958,6.477355e-4,0.0010478489,0.37,0.36,0.8533850416,0.6969311769,0.2202887597,0.0475826469,0.285,8.185350223178686,1147,0.11183956542170186,5.861765649437042e-4,0.0016305657049033178,6.47525809905359e-4,0.0010473002895486025,11.665036924142507,5.036102689192555e-4,0.0014016231351295639
01017,Chambers County,AL,34079,3244,2904,3409,0.1273807243,4.053154e-4,1.467179e-4,2.053509e-4,2.934358e-4,0.41,0.39,0.7876145763,0.5436485812,0.3912380058,0.0413157663,0.26,8.08487062913819,-172,0.11989699903824444,4.052332819017711e-4,1.4670713798164362e-4,2.0532981838992676e-4,2.9339275613580416e-4,10.436436637789742,0.0011893406496669503,4.305229026673318e-4
